Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Captain Stupido,Thundercat,Drunk,0.691,0.0994,103.832,0.0397,0.253,0.242,4,0.66,11,101651,-7.866,0.63,1sgAJRD4JX5rQOHxiESB2T,1
Fragments of Time,Daft Punk,Random Access Memories,0.51,0.104,130.118,0.0433,0.041,0.115,4,0.807,0,279773,-9.729,0.961,0IedgQjjJ8Ad4B3UDQ5Lyn,1
Cash Out,Calvin Harris,Funk Wav Bounces Vol.1,0.79,0.0349,94.965,0.241,0.152,0,4,0.722,4,235973,-4.867,0.434,0Ws8D3EWUDgY962Xftb0h5,0
4r Da Squaw,Isaiah Rashad,The Sun's Tirade,0.523,0.137,143.934,0.329,0.532,2.12e-05,4,0.667,10,232571,-9.477,0.409,71lyUtIPCMAYjTwwwxy2jW,0
Enough!!,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,0.57,0.295,77.381,0.0652,0.251,0.000663,4,0.676,2,200693,-7.23,0.236,1WvGWCDuj0dfRpuBuYecXp,1
Redbone,Childish Gambino,"""Awaken, My Love!""",0.359,0.137,160.083,0.0794,0.199,0.00611,4,0.743,1,326933,-10.401,0.587,3kxfsdsCpFgN412fpnW85Y,1
Future Sound,Jurassic 5,Feedback,0.739,0.349,96.313,0.293,0.0826,0,4,0.729,10,192573,-5.967,0.896,1tGZX1Hml2hStdcFqcH8UI,0
Doves In The Wind,SZA,Ctrl,0.713,0.102,137.36,0.351,0.343,0,4,0.692,10,266080,-4.489,0.615,593W4qZOwwdqF6YnimJjL6,0
TEMPTATION,Joey Bada$$,ALL-AMERIKKKAN BADA$$,0.707,0.874,104.979,0.152,0.397,0,4,0.775,10,244198,-5.339,0.78,7L9g4cPfohScjJ8mGwLQWr,0
Terry,Action Bronson,Mr. Wonderful,0.62,0.107,87.538,0.367,0.707,0,4,0.376,1,289493,-5.84,0.0477,6bj42Hzr3RErxhfgSTdSx6,1
Nikes,Frank Ocean,Blonde,0.394,0.108,137.811,0.0864,0.695,0.000239,4,0.543,8,314075,-9.637,0.118,19YKaevk2bce4odJkP5L22,1
