Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Paparazzi,Lady Gaga,The Fame,0.688,0.0852,114.928,0.0535,0.0947,0,4,0.755,8,208307,-3.97,0.429,16Me2jlMlTX4xsps2j71mC,1
(You Make Me Feel Like) A Natural Woman,Carole King,Tapestry,0.158,0.112,85.492,0.0289,0.953,0.00135,3,0.624,9,229067,-13.059,0.303,0LXljhKMUgoLv8tLwZ1hmf,1
A Horse with No Name,America,America,0.506,0.155,123.179,0.0535,0.686,0.0155,4,0.654,11,252240,-17.18,0.831,54eZmuggBFJbV7k248bTTt,0
Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,0.206,0.115,79.764,0.0323,0.822,0.000649,4,0.149,3,293120,-13.888,0.264,6l8EbYRtQMgKOyc1gcDHF9,1
Boys,Charli XCX,Boys,0.545,0.0505,139.943,0.0625,0.0646,0.000289,4,0.867,2,162586,-5.192,0.525,5o4yGlG0PfeVUa6ClIyOxq,1
Lay It All On Me (feat. Ed Sheeran),Rudimental,x (Wembley Edition),0.747,0.185,122.531,0.0428,0.141,0,4,0.669,6,242440,-7.108,0.483,0vbbhcA6okLzvsy6WSTlLg,1
Not In That Way,Sam Smith,In The Lonely Hour,0.146,0.129,70.359,0.0408,0.936,0,3,0.442,2,172453,-12.459,0.281,11pfbduq7fbQxmXH03OKo7,1
My Sweet Lord,George Harrison,All Things Must Pass (Remastered),0.704,0.0867,120.963,0.0332,0.0794,0,4,0.538,1,281227,-8.904,0.583,0qdQUeKVyevrbKhAo0ibxS,0
Sweetest Devotion,Adele,25,0.745,0.123,155.875,0.0408,0.231,0,3,0.419,0,251693,-5.477,0.259,7nY8TY0Wk7kBIJi2Zv8JoR,1
The Sexy Getting Ready Song - Commentary,Crazy Ex-Girlfriend Cast,Crazy Ex-Girlfriend: Original Television Soundtrack (Season 1) [Commentary Album],0.122,0.326,88.017,0.957,0.739,0,4,0.703,8,307850,-25.004,0.541,5KZJEvMEwxx9AMA2Y6B4Lx,0
Melt My Heart To Stone,Adele,19,0.389,0.241,80.758,0.0316,0.323,0,4,0.409,11,203907,-7.049,0.219,6OqHsUrVmquDBqTPgYLNqm,0
Dancin' In Circles,Lady Gaga,Joanne (Deluxe),0.708,0.199,171.937,0.158,0.0289,0.000294,4,0.64,0,207173,-7.776,0.797,0lqcnnclUdVbPPboOldEPp,0
April Come She Will,Simon & Garfunkel,Sounds Of Silence,0.186,0.2,102.245,0.029,0.863,0.000152,4,0.489,9,109387,-16.237,0.349,0djZ2ndRfAL69WYNra5jRC,1
One,Ed Sheeran,x (Deluxe Edition),0.321,0.0789,93.528,0.0418,0.877,0,4,0.464,2,252760,-11.12,0.306,5TvFfDlVoUWZvfqrhTJzD7,1
