Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Bitch Inside Me,The Greyboy Allstars,Inland Emperor,0.811,0.0315,101.563,0.0665,0.0338,0.00703,4,0.521,10,154067,-6.57,0.963,5nrZJ4D3ppeQyVkHJFE8VP,1
Victim of Love (feat. Menahan Street Band),Charles Bradley,Victim of Love,0.404,0.0559,139.338,0.0334,0.703,0,3,0.48,4,209013,-7.807,0.379,3nG0fqgfZvl5iwdFC2LlLZ,1
My 1-Bedroom,Theo Katzman,Heartbreak Hits,0.323,0.102,176.514,0.161,0.808,0.000284,4,0.552,6,269448,-11.672,0.424,1wkU8NjA4JzwszL61vCmnu,0
Isadora,Christian Scott aTunde Adjuah,Yesterday You Said Tomorrow,0.242,0.107,97.296,0.0335,0.913,0.132,4,0.316,6,373880,-15.239,0.198,7G9VsVr1m6YzaJgHyRgz4y,1
The Beautiful Ones - Instrumental,The Bad Plus,It's Hard,0.26,0.107,80.229,0.082,0.261,0.907,4,0.472,1,212427,-12.713,0.501,2KFHgQ8paqlIea7FfbBFBy,1
Chanterelle,The Dip,Won't Be Coming Back,0.685,0.0349,107.273,0.0331,0.138,0.933,4,0.73,5,201427,-5.917,0.793,6CA7xr4RNP5GTePH7B6k1n,1
Little One,Miles Davis,E.S.P.,0.174,0.11,125.703,0.0449,0.924,0.0977,3,0.497,5,439200,-13.731,0.172,4uKU7v10V2AxdQzqVCrJzQ,0
Crappy Love Song,Theo Katzman,Heartbreak Hits,0.349,0.164,67.473,0.0615,0.755,2.23e-06,4,0.746,10,205220,-8.881,0.609,2o4QJqDv6EnC6Fb9zDALdg,1
Milo,The Saplings,The Saplings EP,0.536,0.432,158.01,0.114,0.219,0.0369,4,0.546,0,381027,-8.31,0.757,3JuLG3P9FqErLmMVTTaoCq,1
Come to Me,Gretchen Parlato,Gretchen Parlato,0.279,0.101,104.739,0.0357,0.713,0.13,4,0.645,1,320307,-15.833,0.647,43AoMx8IHZyc4O9bXxWJgZ,1
Askim,Kamasi Washington,The Epic,0.566,0.11,109.056,0.0371,0.0605,0.819,3,0.359,5,754700,-10.018,0.379,21xkL3U23GZEhp4uM1NSaM,0
Bounce: pts I + II,Nate Smith,KINFOLK: Postcards from Everywhere,0.569,0.056,95.411,0.143,0.197,0.513,4,0.693,1,333240,-6.865,0.598,4CewWsIgEbKcSBtrgi0T9o,1
Green Chimneys,Thelonious Monk,Underground (Special Edition),0.348,0.119,93.167,0.06,0.416,0.0147,4,0.571,1,790000,-12.683,0.575,7d5SCPQixueoznVliRr0iF,1
Chasin Rhymes (feat. Saara Maria),Joomanji,Manj,0.764,0.183,97.636,0.0917,0.347,0.368,4,0.443,0,251310,-7.593,0.442,7IuUJr2TbcSftJobqjtkxP,1
Is This Love,Corinne Bailey Rae,The Love E.P.,0.333,0.211,123.804,0.0434,0.81,0.00178,3,0.683,7,208636,-9.195,0.329,5FvapYqWK6TEuh4csYwQ9O,0
B.T.,The Dip,Won't Be Coming Back,0.627,0.11,90.867,0.0356,0.251,0.64,4,0.768,4,237013,-7.487,0.901,4VzOsN1NqK4ngoUkKxCITJ,1
Called To Tell You,Theo Katzman,Romance Without Finance,0.469,0.085,118.128,0.041,0.634,6.42e-05,4,0.863,6,201440,-10.161,0.864,5R7smNPfVbGs07hdG9cPbR,1
All Matter,Robert Glasper Experiment,Double Booked,0.415,0.113,121.519,0.0397,0.0161,0.0022,4,0.611,5,393653,-11.96,0.298,0OVuQ8DlIIzU2a2hgrjquU,0
