Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Candyman,Zedd,Candyman,0.875,0.356,149.974,0.0523,0.0232,0,4,0.573,2,178920,-4.057,0.235,0NWQTyapmz4GuDTSN9xTB7,0
Cash Out,Calvin Harris,Funk Wav Bounces Vol.1,0.79,0.0349,94.965,0.241,0.152,0,4,0.722,4,235973,-4.867,0.434,0Ws8D3EWUDgY962Xftb0h5,0
Breathe,Mina Knock,The Vista,0.954,0.323,91.324,0.288,0.209,0,4,0.508,1,198140,-4.087,0.444,5e6Wyruqnw2XiG0SpPPYSl,1
Sunshine,Atmosphere,Sad Clown Bad Summer Number 9,0.572,0.186,90.939,0.149,0.147,2.62e-06,4,0.852,1,216547,-5.086,0.569,5OmcnFH77xm4IETrbEvhlq,1
Moving On and Getting Over,John Mayer,The Search for Everything,0.461,0.1,94.038,0.0539,0.591,0.0409,4,0.85,6,265360,-9.018,0.628,1crSsvtU9wZB15dIQXV2QH,0
Hurt,Johnny Cash,Unearthed,0.376,0.112,91.469,0.0288,0.713,0.000389,4,0.545,9,216533,-8.344,0.169,5rpRzNcJZqKQXk9PIjreB6,0
Tighten Up,The Black Keys,Brothers,0.705,0.453,108.965,0.0665,0.00121,4.12e-06,4,0.504,6,211080,-6.179,0.567,2MVwrvjmcdt4MsYYLCYMt8,0
Katie Queen Of Tennessee,The Apache Relay,Apache Relay,0.915,0.368,127.048,0.0309,0.0944,0.000409,4,0.559,2,204653,-5.364,0.752,5iXuX70Sxp6sKdumBcQQW7,1
Roxanne - Remastered 2003,The Police,Outlandos D'Amour,0.746,0.043,134.03,0.354,0.026,2.39e-06,4,0.608,0,191947,-8.851,0.745,0SYRVn2YF7HBscQEmlkpTI,1
Morocco,Moon Taxi,Mountains Beaches Cities,0.894,0.153,115.077,0.0508,0.0178,0.000103,4,0.616,1,208080,-3.209,0.542,30lgD1UuHczwlxa7NZFeSQ,0
Slide,Calvin Harris,Funk Wav Bounces Vol.1,0.795,0.254,104.066,0.0545,0.498,1.21e-06,4,0.736,1,230813,-3.299,0.511,7tr2za8SQg2CI8EDgrdtNl,0
Doses & Mimosas,Cherub,Year of the Caprese,0.655,0.035,114.503,0.102,0.114,0.00016,4,0.775,5,323253,-7.333,0.346,44CZRkOxv7UItaAUmh8PgN,1
No Money (Jetski),Joe Hertler & The Rainbow Seekers,No Money (Jetski),0.498,0.364,175.941,0.143,0.396,0.000682,4,0.636,7,257040,-8.181,0.65,28hN3FfqSbKyKmR68IUr5U,1
Black Dog,Lyall Moloney,The Architect,0.383,0.369,96.957,0.163,0.635,0.0216,4,0.784,0,207414,-10.193,0.798,7t8AhVb1nd1SOhutQgM62H,1
We Ain't Them,Childish Gambino,Majestic Casual - Chapter I,0.73,0.106,100.079,0.317,0.188,0,4,0.474,1,193213,-9.061,0.26,5D8Uht0XrBMINxQ5v1xCJP,0
Truce,Nathan Nzanga,Truce,0.403,0.117,168.022,0.157,0.776,1.38e-05,4,0.664,0,275714,-7.786,0.613,4EIvvOujlgfwsQa1JgtGBL,0
Step,Vampire Weekend,Unbelievers,0.747,0.213,78.261,0.334,0.289,0,4,0.593,10,261240,-6.78,0.845,2IsXzSI88vNpFGMXG7wD9K,1
Hopeless,Khalid,American Teen,0.702,0.175,116.021,0.0464,0.643,0,4,0.785,7,167640,-4.517,0.569,3JTtZUOiZljuWbNiasfHB6,1
