Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Good God Damn,Arcade Fire,Everything Now,0.496,0.31,99.023,0.0391,0.0927,0.00293,4,0.799,11,214427,-8.304,0.5,2ZssXuZfktUr4MMDzEWD2Z,0
Cool Yourself,Thao,Know Better Learn Faster,0.794,0.0624,108.233,0.0301,0.246,5.83e-05,4,0.626,2,154773,-6.137,0.783,0BZmAQV9oA9j9TRYZ1jQj4,1
Four of a Kind,Magic City Hippies,Hippie Castle EP,0.678,0.218,76.997,0.043,0.236,0.000136,4,0.66,9,215000,-7.541,0.787,4s8306r4MLHOZpBEF17Tnk,1
Rich Girls,The Virgins,The Virgins,0.82,0.279,109.558,0.034,0.00157,1.22e-06,4,0.749,10,180120,-5.755,0.721,58F6iKkYdIccktJ8i8BuQQ,0
Don't You Evah,Spoon,Ga Ga Ga Ga Ga,0.645,0.127,120.983,0.0297,0.0434,1.75e-06,4,0.781,6,216613,-6.202,0.961,4YW2R3AqcfQEiWEYkcq2AH,1
Saudade,Sure Sure,Songs from 2014,0.522,0.0378,169.184,0.0454,0.152,0.0117,4,0.64,4,206250,-8.972,0.605,50cS63SrznmwPMsATeEwOC,1
Jacksonville,Sufjan Stevens,Illinois,0.445,0.645,140.053,0.0324,0.361,0.000415,4,0.597,5,324720,-8.947,0.579,1ZHLEKW4rXRaDJESAX7CR8,0
"Jesus, etc.",Wilco,Yankee Hotel Foxtrot,0.28,0.414,109.413,0.0296,0.616,0.00033,4,0.756,5,231000,-14.27,0.695,4wd09wCccmxUB7XVJp0RNn,1
Miss Primetime (feat. Pell),Big Gigantic,Brighter Future,0.934,0.0918,136.922,0.121,0.00288,0,4,0.589,0,215474,-1.432,0.586,19eEhd1hR5TPAcpNrhdwkN,1
Last Day of School (feat. Jimmy & the Threats),Toussaint Morrison,Last Day of School (feat. Jimmy & the Threats),0.739,0.147,151.893,0.155,0.215,0,4,0.57,8,379513,-6.011,0.302,4uBpXZUKoLBufusF6POFY3,1
Sun It Rises,Fleet Foxes,Fleet Foxes,0.285,0.163,112.025,0.0319,0.576,0.0649,3,0.577,7,191493,-8.442,0.0653,7ejNRmaEYpXVbdWEulQbb4,1
TEMPTATION,Joey Bada$$,ALL-AMERIKKKAN BADA$$,0.707,0.874,104.979,0.152,0.397,0,4,0.775,10,244198,-5.339,0.78,7L9g4cPfohScjJ8mGwLQWr,0
Down And Out,Cam’ron,Purple Haze,0.835,0.105,83.016,0.234,0.0201,0,4,0.735,6,248627,-2.926,0.671,5mEwhCsqadBZIE7SSrv1gC,0
Fall in Love,GoldLink,Fall in Love,0.837,0.328,105.105,0.36,0.058,0.000567,4,0.627,1,184571,-7.162,0.504,2RISD4aJrioDB54exm5WWM,1
Miss Right,Anderson .Paak,Venice,0.521,0.204,96.419,0.216,0.00344,0.366,4,0.819,10,198713,-7.328,0.715,3xc7EvYaIA0El81QVSwdhg,0
Hol' Up,Kendrick Lamar,Section.80,0.869,0.137,155.983,0.345,0.781,0,4,0.607,5,173158,-5.271,0.577,5DO1SazQppcsKQ1c1JpyQz,1
Travel Song,Abhi The Nomad,Catharsis,0.469,0.33,109.999,0.0565,0.239,1.88e-06,4,0.883,2,220364,-8.986,0.717,4xoAKtNM2Cy1Uq6LBpyKxo,1
Dirty Work,Steely Dan,Can't Buy A Thrill,0.354,0.0879,73.007,0.0313,0.795,0.000107,4,0.631,1,188693,-11.112,0.522,0s1aSsYlLIEiy16LjFWbdp,1
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,The Beyond / Where the Giants Roam,0.58,0.116,81.678,0.0588,0.555,0.00155,4,0.791,8,187210,-8.377,0.757,7hmiDaBxoyLW094H8vup2S,1
LUST.,Kendrick Lamar,DAMN.,0.562,0.108,94.011,0.515,0.198,0,4,0.651,3,307880,-9.431,0.581,06FCvd7rrRcF3DdvWH5Isp,0
Time,Pink Floyd,The Dark Side of the Moon,0.48,0.178,120.317,0.0849,0.521,0.00428,4,0.358,9,413947,-11.79,0.356,3TO7bbrUKrOSPGRTB5MeCz,1
Aloha,Møme,Aloha,0.709,0.12,100.095,0.147,0.205,8.34e-05,4,0.564,10,218400,-5.955,0.436,4uNDs2TBsv2KX9b4LIxfdt,0
Way It Goes,Hippo Campus,Landmark,0.906,0.377,120.014,0.0491,0.021,0.00043,4,0.542,9,245456,-4.213,0.515,6CES1554HcWMIVroJfmmBm,1
Jazz,Mick Jenkins,The Water[s],0.61,0.113,125.227,0.119,0.25,0.000121,3,0.636,8,260160,-9.665,0.296,3eqEq53sUsaukd560hw7Dh,1
What They Want,Russ,What They Want,0.404,0.0953,139.553,0.379,0.484,0,4,0.71,1,165853,-10.04,0.398,3aWhZ1zeqy1kdjXiyMh22T,0
Fat Lady,Sure Sure,Fat Lady,0.487,0.0859,115.769,0.0389,0.16,0.000191,4,0.699,5,171714,-7.747,0.625,5sB1ioXjMuWl5UtWSL1i5J,1
LAND OF THE FREE,Joey Bada$$,ALL-AMERIKKKAN BADA$$,0.649,0.116,95.1,0.313,0.466,0,4,0.734,8,283690,-6.235,0.158,6xz04ypw5JsqiyityCASG1,0
XXX. FEAT. U2.,Kendrick Lamar,DAMN.,0.618,0.11,129.989,0.357,0.148,1.69e-06,4,0.65,8,254200,-6.975,0.297,4iYRa2btalAzPZoSYfROqF,1
Baby Boy,Felly,Wild Strawberries,0.391,0.135,166.12,0.251,0.344,0.00015,4,0.727,5,175450,-7.48,0.221,6vx78riZ6WGS0f6ER0F5Se,0
Money,Pink Floyd,The Dark Side of the Moon,0.537,0.269,124.193,0.152,0.0241,0.00201,1,0.469,9,382834,-10.421,0.783,0vFOzaXqZHahrZp6enQwQb,1
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,0.342,0.0651,128.029,0.0613,0.344,7.64e-05,4,0.683,11,320654,-7.531,0.642,0rRjGruFonCGOt0S5zAJNQ,0
New Biome,Sure Sure,New Biome,0.414,0.105,104.013,0.0559,0.245,0.00315,4,0.801,11,180577,-8.805,0.536,43BLqP9em5cm0F8CWeDTfz,1
Never Say No,Robby Hunter Band,Magic City Hippies,0.556,0.113,140.031,0.0807,0.51,0.0215,4,0.822,8,196383,-8.877,0.925,1F720pMdxXgAWm63LswHb8,1
Cold Slope,Wilco,Star Wars,0.371,0.358,140.203,0.0424,0.175,0.245,4,0.738,0,191388,-8.358,0.718,4zGUV7qsrSbI2csL9Po0ne,1
All Night (feat. Knox Fortune),Chance The Rapper,Coloring Book,0.777,0.151,111.921,0.195,0.0358,0,4,0.704,2,141542,-5.729,0.392,60xaS8mYBKUW4VQQ666N0T,1
Guru,Coast Modern,Guru,0.701,0.07,140.023,0.042,0.232,0.00295,4,0.76,3,204467,-6.393,0.81,7ygO2E3yfwZVYbzaPdGzed,1
Fried Chicken,Nas,Nas,0.824,0.0459,95.283,0.209,0.116,0,4,0.709,2,170120,-4.643,0.804,7Fk0r7RMDiP6WpiMUpLkc8,1
Saturnz Barz (feat. Popcaan),Gorillaz,Saturnz Barz (feat. Popcaan),0.621,0.427,80.051,0.113,0.0272,0,4,0.383,6,181907,-5.878,0.213,2oJInAFXiQYLgz0jh9MrXf,0
Andromeda (feat. DRAM),Gorillaz,Andromeda (feat. D.R.A.M.),0.472,0.59,130.084,0.0475,0.003,0.0322,4,0.788,0,197547,-9.021,0.257,0V5zAGdvO780GT3gtdxzLt,1
Foreplay,Jalen Santoy,Foreplay,0.417,0.155,173.887,0.176,0.157,0.00223,3,0.486,5,173600,-6.259,0.571,4mfhaU5jVlmb3IXEp1la9V,0
This Must Be the Place,Sure Sure,This Must Be the Place,0.371,0.0985,115.026,0.0465,0.349,0.00138,4,0.886,5,219261,-10.542,0.928,5XNFqqY6uEeHecY4vkYfwC,1
Ms. Fat Booty,Mos Def,Black On Both Sides,0.598,0.235,90.48,0.217,0.145,0,4,0.767,1,223515,-5.235,0.867,0IVAlb0cFCH1cQ974iR1TU,1
Crazy Bird,Wild Child,Crazy Bird,0.534,0.37,93.473,0.0353,0.261,0.000176,4,0.782,3,238391,-8.35,0.722,6d9aDuLj2AzDrCAmASuT4k,1
Dynamite (feat. Pretty Sister),Nause,Dynamite (feat. Pretty Sister),0.801,0.0742,105.055,0.0802,0.0548,2.09e-05,4,0.811,9,195429,-6.0,0.693,2Ae5awwKvQpTBKQHr1TYCg,0
All Night,Big Boi,BOOMIVERSE,0.831,0.106,135.994,0.0459,0.0624,0,4,0.847,8,241893,-4.56,0.865,2e0cr3SmqCR6Ow6zVCs6pj,0
Sky Blue Sky,Wilco,Sky Blue Sky,0.364,0.114,116.324,0.0373,0.708,0.0278,4,0.685,0,202827,-12.232,0.298,41c6R2RLOiO0tglrV7Uxr2,1
The Girls,Sure Sure,Songs from 2014,0.512,0.0799,93.945,0.0749,0.0103,0.0845,4,0.785,5,205000,-10.033,0.592,0SclvT3Ipkhdfn5sFK22cK,1
It's A Vibe,2 Chainz,Pretty Girls Like Trap Music,0.516,0.111,145.995,0.118,0.0263,0.00072,4,0.841,11,210200,-7.461,0.556,6H0AwSQ20mo62jGlPGB8S6,0
White Winter Hymnal,Fleet Foxes,Fleet Foxes,0.534,0.328,124.964,0.0267,0.437,3.33e-06,4,0.629,6,147027,-9.054,0.649,1Er5JMNcguoBMFXxwZ7BWH,0
Lit - Bonus,Bas,Last Winter,0.583,0.0747,125.973,0.0405,0.0637,1.63e-05,4,0.687,8,278667,-6.77,0.0827,6Oi5FTOvWeHiauCJ7uxZJN,1
Heart Wants,Magic City Hippies,Heart Wants,0.754,0.881,144.085,0.0372,0.0271,0.0719,4,0.691,11,222000,-8.136,0.924,13I8nqMjLQfdRcXMZ7mU0D,1
Love$ick,Mura Masa,Love$ick,0.766,0.265,88.412,0.145,0.133,0.00287,4,0.603,8,192160,-5.098,0.736,23e6ly5nFanMQOk4cAwJj2,0
Big Fish,Vince Staples,Big Fish Theory,0.55,0.311,99.997,0.316,0.472,1.89e-05,4,0.894,3,198133,-5.905,0.713,6eL1ncVDtQHgSm3E288TS7,0
Habit - Blood Cultures Remix,Cool Company,Slice of Paradise (The Remixes EP),0.463,0.364,90.034,0.0361,0.614,0.125,4,0.711,1,213028,-9.733,0.65,6trZBfGagQQeI97yJQuq4c,0
Slow Motion,Juvenile,Juve The Great,0.733,0.0675,172.925,0.34,0.526,0,4,0.711,0,248200,-4.96,0.87,6ihObRBTB8xdSH2mlERtOX,0
Body High,Harrison Brome,Body High,0.579,0.132,128.954,0.0511,0.534,0.0689,4,0.431,1,189573,-8.475,0.515,6d3qn99YVl3IrTQH68lE5t,1
Can I Sit Next to You,Spoon,Can I Sit Next to You,0.732,0.0293,102.988,0.0714,0.293,0.00121,4,0.76,11,234213,-5.65,0.885,70iOSauxRnN75tRClYXmuK,0
Only For You,Heartless Bastards,Arrow,0.649,0.104,82.016,0.0311,0.0442,0.0695,4,0.677,10,308067,-5.906,0.787,17ZnveSDBpG9QtL7zLJNPy,1
Grown Up,No Wyld,Nomads,0.442,0.117,99.995,0.0336,0.196,0.443,4,0.823,6,212667,-8.664,0.319,0CV8u1K2Q4nhBvqqTWykw4,1
Elle ne t’aime pas,La Femme,Mystère,0.699,0.194,130.983,0.0346,0.0838,0.858,4,0.56,7,238733,-10.443,0.577,6QEvbmv2euCQxX54gjlarO,1
Fanfare,Magic City Hippies,Hippie Castle EP,0.62,0.135,80.021,0.0538,0.0124,0.0164,4,0.585,6,264000,-9.075,0.725,2WQzsRjsNuQz8KGEXNcJCU,1
Hear Me Now,Alok,Hear Me Now,0.43,0.0936,121.996,0.0419,0.537,0.00261,4,0.788,11,192846,-7.757,0.461,6OnYQKTc5fbSGbIpaH4KxL,1
Bad Things,Milky Chance,Blossom (Deluxe),0.509,0.217,110.037,0.0675,0.536,0.00068,4,0.794,9,252893,-9.508,0.507,63fj7dR4QGRHDHKZStUuAY,0
Harlem,Mickey,Harlem,0.793,0.113,121.006,0.0301,0.0342,0.00644,4,0.646,1,201818,-6.095,0.422,0MBKxFifOMeIPKv6K4zbL0,1
