Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Don't Keep Me Wonderin' - Live At The Fillmore East/1971/First Show,The Allman Brothers Band,The 1971 Fillmore East Recordings,0.77,0.81,94.236,0.107,0.18,0.109,4,0.414,0,233040,-9.312,0.519,0walU5hF6j5j0PBYqwa15N,1
Please Be With Me,Eric Clapton,461 Ocean Boulevard (Remastered),0.13,0.132,107.199,0.0288,0.835,0.00423,4,0.633,7,206267,-21.081,0.288,3aWWfmVhaMGFwtKFFBHgC5,1
Ain't Wastin' Time No More,The Allman Brothers Band,Eat A Peach (Deluxe Edition),0.701,0.183,91.694,0.045,0.0964,0.00226,4,0.468,3,220587,-11.924,0.777,1hHzmUP61nqVSyVHruv3jZ,1
The Golden Road (To Unlimited Devotion) - Remastered Version,Grateful Dead,Grateful Dead,0.57,0.159,146.934,0.0276,0.141,1.57e-05,4,0.517,7,128760,-9.883,0.912,5wrqJTUMJeShLrMiNutTRQ,1
Black Dog,Led Zeppelin,Led Zeppelin IV (Remastered Version),0.864,0.242,81.394,0.0904,0.396,0.0314,4,0.437,4,295387,-7.842,0.749,0D58ERdLBDRgT86BPnH8ps,0
Shady Grove,Jerry Garcia,Shady Grove,0.378,0.0931,106.123,0.0379,0.924,0.0738,4,0.706,7,259533,-15.293,0.955,1gCE4LxErCB25MSERdLCZX,1
Don't Keep Me Wonderin' - Live At The Fillmore East/1971,The Allman Brothers Band,At Fillmore East (Deluxe Edition),0.793,0.759,93.952,0.0509,0.498,0.00668,4,0.398,0,207354,-6.44,0.738,6wltYSt2OiXGncevLviiOt,1
Take It Easy,Eagles,Eagles (Remastered),0.67,0.129,139.191,0.0318,0.343,4.95e-06,4,0.575,7,211578,-10.39,0.74,4yugZvBYaoREkJKtbG08Qr,1
Mother Goose,Jethro Tull,Aqualung,0.324,0.086,97.772,0.031,0.616,0,4,0.694,7,232200,-14.259,0.869,5RsfvV4oSchEPH6t93C1lR,1
"China Cat Sunflower - Live - 8/27/72 Veneta, Oregon",Grateful Dead,"Veneta, OR 8/27/72 (The Complete Sunshine Daydream Concert)",0.583,0.133,173.62,0.0346,0.448,0.476,4,0.396,7,478253,-10.503,0.867,0lbWWoUhUnNMKnqTr2BKNH,1
Angie,The Rolling Stones,Goats Head Soup (Remastered 2009),0.541,0.102,136.224,0.0294,0.725,0.000191,4,0.438,9,272000,-6.012,0.396,1GcVa4jFySlun4jLSuMhiq,0
Box Of Rain,Grateful Dead,American Beauty,0.49,0.121,117.755,0.0286,0.413,0,4,0.52,2,318929,-12.828,0.76,7x2xjJV3YAPeLQJ7u3Kjet,1
Battle of Who Could Care Less,Ben Folds Five,Whatever And Ever Amen (Remastered Edition),0.804,0.521,97.88,0.0307,0.352,0.000235,4,0.467,10,196573,-5.398,0.614,0PvMKZyipzuQCK7AI6iwgK,1
Trouble No More - Live At The Fillmore East/1971,The Allman Brothers Band,At Fillmore East (Deluxe Edition),0.73,0.513,145.347,0.0804,0.482,0.000231,4,0.484,10,223493,-8.205,0.665,1TyCTyCab7MMTadRWoXYbT,1
She,Green Day,Dookie,0.937,0.0904,93.307,0.0356,7.37e-05,0.00817,4,0.37,1,134293,-3.939,0.874,4wsQGsdf8D0Bj26cGdvreB,0
Statesboro Blues - Live At The Fillmore East/1971,The Allman Brothers Band,At Fillmore East (Deluxe Edition),0.813,0.938,126.002,0.0993,0.446,0.00444,4,0.457,2,258200,-7.333,0.79,7BgXSs22L212AGT26pdjUm,1
Spots Of Time,Warren Haynes,Ashes & Dust,0.72,0.108,111.93,0.0327,0.513,0.0555,4,0.417,4,504067,-6.149,0.55,5nNnKjUrA122q1W6wAmAOn,0
"Chinatown Shuffle - Bickershaw Festival, Wigan, England 5/7/1972",Grateful Dead,"Europe '72 Vol 13: 5/7/72 (Bickershaw Festival, Wigan, England)",0.553,0.112,138.771,0.0555,0.779,0.00277,4,0.539,0,202453,-10.241,0.662,5l36SZAuP80wdGmqpBzA4l,1
Dead Flowers - Remastered,The Rolling Stones,Sticky Fingers (Remastered),0.842,0.133,130.352,0.0285,0.347,1.05e-05,4,0.544,2,244533,-4.531,0.931,3oJtUnnt5uYPtzulIbLw3D,1
"Dire Wolf - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78",Grateful Dead,"Red Rocks Amphitheatre, Morrison, CO (7/8/78)",0.548,0.802,134.721,0.0725,0.764,0.000216,4,0.707,0,246627,-11.515,0.736,7iNfYAuMmXDiOt85R3Ro2C,1
