Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Rejoice,AJJ,People Who Can Eat People are the Luckiest People in the World,0.614,0.127,91.147,0.0374,0.118,0,4,0.486,0,195587,-7.636,0.592,3oIQfBgaruqihkCHokRQZ0,1
More About Alcoholism - Live,Ramshackle Glory,Live the Dream,0.726,0.647,104.792,0.0487,0.112,0,4,0.494,2,163280,-5.544,0.751,5k0s5hhttzd1mfspIvP3Wu,1
This Life,Denzel Curry,Imperial,0.843,0.121,152.031,0.0672,0.55,0,4,0.72,3,207214,-6.903,0.818,2aQwdBWk4vSPWk1Csgtzdo,0
Movember (feat. Sarah Levy),Mom Jeans.,Best Buds,0.302,0.0786,125.065,0.0536,0.0584,0,4,0.499,9,217261,-10.898,0.467,59bCI20jZOle0v9FANxKRa,1
40 Acres,Common Market,Tobacco Road,0.363,0.125,92.975,0.365,0.0837,0,4,0.884,1,157884,-8.33,0.46,62h4FpNTYHFSej72YybSSd,0
Head On Collision,New Found Glory,Sticks and Stones,0.903,0.385,161.719,0.0799,0.000331,0.113,4,0.402,9,226827,-4.335,0.656,3RCjD9vFhW5kYamPdtzzu0,1
Nikes,Frank Ocean,Blonde,0.394,0.108,137.811,0.0864,0.695,0.000239,4,0.543,8,314075,-9.637,0.118,19YKaevk2bce4odJkP5L22,1
Killa Whale,Andre Nickatina,I Hate You With A Passion,0.648,0.374,85.467,0.255,0.172,0,4,0.842,11,276520,-6.939,0.389,6Gp7HOQVeBvs9hsS0zx7mW,1
Conversation With A Devil,Andre Nickatina,Conversation With A Devil,0.736,0.316,180.452,0.598,0.0318,1.45e-06,4,0.755,7,214720,-7.911,0.688,17Ft3bPGR6dZKYPUgJd7bJ,1
Alligator Skin Boots,McCafferty,Beachboy,0.319,0.227,142.883,0.0745,0.804,3.91e-06,4,0.535,9,142656,-15.397,0.457,1qFWOGLf8rX2lOLrR9wicN,1
Lipstick Covered Magnet,The Front Bottoms,Rose,0.745,0.367,141.949,0.0437,0.00154,0,4,0.463,0,154427,-5.544,0.79,5S5izTp5uO4h0hbIFxRs6b,1
Im Glad Your Doing Well,Cottonwood Firing Squad,Wyoming (And Other Songs to Kill Yourself To),0.645,0.0835,170.102,0.0356,0.526,0.000762,4,0.473,4,288212,-11.958,0.399,1FS16cxG3Uu8f84yzAkmzb,1
