Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
St. Brick Intro,Gucci Mane,St. Brick Intro,0.612,0.297,149.888,0.409,0.3,0,4,0.794,0,147153,-6.94,0.419,1Et5dtjFVjgZeH6OC925hk,0
I Don't Get Tired (#IDGT) [feat. August Alsina],Kevin Gates,Luca Brasi 2: Gangsta Grillz,0.698,0.428,139.953,0.171,0.0524,0,4,0.492,1,209707,-5.606,0.288,6HMHgBHdLBQ0QYIaOp2gse,1
Layla,Eric Clapton,Unplugged [Deluxe],0.524,0.94,93.654,0.0459,0.321,0.000952,4,0.558,2,289027,-11.626,0.636,3BEZCNZSmVv30vsMNSOCri,0
On a Mission,OttoMattic,On a Mission,0.551,0.166,89.731,0.295,0.198,0.000196,4,0.61,7,213849,-8.116,0.42,5FzLjlYRkzbY3BUv31cwRj,1
Lamborghini Tears,Marc Goone,Lamborghini Tears,0.53,0.0891,120.997,0.0542,0.478,0,4,0.617,10,288020,-9.182,0.247,48Vus3TWfZw4GOHKsea0hd,0
FML,Kanye West,The Life Of Pablo,0.423,0.193,125.116,0.0822,0.313,0,4,0.667,9,236120,-7.146,0.156,30Zcjs7pgEkmJA1lEbGSWT,0
4 The People,Ethereal,4 The People,0.835,0.157,113.074,0.332,0.293,0,4,0.702,1,305841,-4.119,0.653,1XEmDXspcHDxeiRX9hpfxo,0
Ego Killed Romance (feat. Jamila Woods),Kweku Collins,Nat Love,0.667,0.156,136.025,0.325,0.373,1.8e-05,4,0.56,4,240926,-6.676,0.648,1iJzGoJTUCxKZyyI5HF9Iu,1
Skrt,Kodak Black,Skrt,0.352,0.122,111.065,0.0916,0.585,0,4,0.901,2,224865,-10.038,0.199,5v7kaZNsnyByrSJOfO8gKq,1
Go Flex,Post Malone,Stoney (Deluxe),0.496,0.0769,81.951,0.109,0.248,0,4,0.662,5,179613,-8.267,0.133,5yuShbu70mtHXY0yLzCQLQ,1
World In My Hands,Saba,Bucket List Project,0.691,0.083,136.057,0.158,0.0495,0,4,0.816,1,230625,-4.772,0.403,3ToO9EBuxj9gOgA5ZWbzJU,0
Ashtrays and Heartbreaks,Snoop Lion,Reincarnated (Deluxe Version),0.824,0.116,163.979,0.0594,0.000299,0.000122,4,0.508,8,246413,-5.457,0.622,563HSFCHokFZGaNL4WY4dY,1
It's Still Rock and Roll to Me,Billy Joel,Glass Houses,0.684,0.0897,141.075,0.15,0.0994,0,4,0.752,0,176440,-7.599,0.539,64UioB4Nmwgn2f4cbIpAkl,1
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,0.541,0.167,110.803,0.055,0.0224,0,4,0.681,9,227360,-8.926,0.413,6SwRhMLwNqEi6alNPVG00n,0
Guilty Pleasure,Bryce Vine,Lazy Fair,0.844,0.106,150.03,0.0465,0.0032,0,4,0.641,6,204435,-5.758,0.834,4T6p9mFEP9J1HbQWfdIP6F,1
A Little More,Machine Gun Kelly,General Admission,0.72,0.147,90.019,0.0468,0.0804,0.00109,4,0.653,7,237453,-6.629,0.239,4VHhltj6aUxZJWnImrXDhC,1
