Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Free At Last,S-X,Free At Last,0.617,0.204,140.107,0.115,0.505,0,4,0.582,8,186227,-7.466,0.306,0kMxybaVSjw5oXbHG9sDdc,0
"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",0.743,0.294,102.076,0.0642,0.061,0,4,0.787,1,300000,-4.206,0.454,0gpFiquPvir7e3RrM4kii9,1
X (feat. Future),21 Savage,Savage Mode,0.413,0.101,149.004,0.396,0.373,0.00133,4,0.835,1,258880,-9.81,0.111,6fwdbPMwP1zVStm8FybmkO,1
Never Swim Alone,Death From Above 1979,Never Swim Alone,0.848,0.183,165.779,0.319,0.00484,0.0228,4,0.466,1,154480,-4.62,0.552,12zWDymbpgzBL92Ejpe0kP,1
Top of the World,Slightly Stoopid,Top of the World,0.738,0.103,93.986,0.0305,0.0207,0.00509,4,0.673,9,195813,-6.221,0.681,32wrcAmmrWqvf6nzBMrOK1,0
Edmonds Brothers (Instrumental),Felly,Instrumentals (Best of 2013-2015),0.489,0.119,173.653,0.0454,0.01,0.357,4,0.774,10,180209,-5.036,0.482,4YN73NQ2LqVojzUTi33mg7,0
Bloodshed,Denzel Curry,13,0.829,0.31,142.948,0.239,0.146,0,4,0.475,5,201399,-5.567,0.0772,4DgImhJ5lY30bQdY6zVsb4,0
Doses & Mimosas,Cherub,Year of the Caprese,0.655,0.035,114.503,0.102,0.114,0.00016,4,0.775,5,323253,-7.333,0.346,44CZRkOxv7UItaAUmh8PgN,1
Cosby Kids,Goldyard™,Fuck Culture 2,0.66,0.345,143.977,0.318,0.0023,2.68e-05,4,0.404,9,213812,-8.967,0.32,2u1kpcQv3AvaMhePi46aKQ,1
Finger,Ty Segall,Melted,0.481,0.0512,143.719,0.0337,0.000406,0.00523,4,0.237,8,174333,-3.68,0.133,1osYkIYegkLLnPutvItBta,1
Da Graveyard,Big L,Lifestylez Ov Da Poor & Dangerous,0.757,0.363,92.996,0.356,0.516,0,4,0.813,1,323760,-5.358,0.646,04Rz403IY7QUqgfrTWX6OU,1
New Level,A$AP Ferg,ALWAYS STRIVE AND PROSPER,0.704,0.162,121.059,0.131,0.0344,0,4,0.738,1,264973,-1.69,0.152,25rc1PFgPvtV6GFSloyOI0,0
Yeah Right,Vince Staples,Big Fish Theory,0.481,0.389,118.06,0.0869,0.0182,0,4,0.738,1,188947,-8.812,0.248,35tWhD29yvWwB0IDRr6zsL,1
XXX,Danny Brown,XXX (Deluxe Edition),0.86,0.0888,109.618,0.158,0.202,0,5,0.623,10,110487,-4.709,0.334,7bK9xOZYM05LOh4bvk2Sl7,0
WINDOWS FT. RICK RO$$,JOYRYDE,WINDOWS FT. RICK RO$$,0.931,0.708,160.158,0.354,0.0394,3.07e-06,4,0.691,11,234750,-3.639,0.471,47pgDM5iCb9PYyXYpOPFyF,1
Five Hours,Deorro,Five Hours,0.821,0.234,127.907,0.118,0.0197,0.661,4,0.88,5,326888,-2.545,0.575,6r7FXNO57mlZCBY6PXcZZT,0
Go It Alone,Beck,Guero,0.398,0.109,74.99,0.053,0.601,0.62,4,0.864,1,248840,-10.414,0.533,7zeCIWu37bKFJuem8MTyM1,1
Broccoli,DRAM,Broccoli,0.525,0.057,145.99,0.132,0.236,0,4,0.886,8,225205,-7.39,0.708,0qy5D3OJre7SPJNMOL9I71,1
Monopoly,Danny Brown,XXX (Deluxe Edition),0.741,0.153,87.015,0.291,0.15,0,4,0.64,0,164534,-6.656,0.715,22LoY7zNZWb7Acob4cvCwn,0
Castro,Yo Gotti,White Friday (CM9),0.544,0.13,146.077,0.368,0.643,0,4,0.79,10,219947,-6.624,0.467,0rHJxNaQRMGK6Y4TUx3xRO,0
Pronto,Freddie Gibbs,Pronto - EP,0.601,0.119,108.021,0.234,0.151,5.3e-05,4,0.756,5,217778,-8.207,0.137,2AMLUgjBRD61noEhEB1p7x,1
Equalizer,Denzel Curry,13,0.536,0.091,122.005,0.051,0.00308,0.000805,4,0.768,1,169180,-5.63,0.357,5GC39eRKcLeYTS3jMIAJOj,1
Met Gala (feat. Offset),Gucci Mane,Droptopwop,0.587,0.185,140.062,0.108,0.052,0.00165,4,0.817,2,209143,-6.502,0.352,2XaInsPPUkZRkY4uFJ3AHK,1
Lifestylez Ov Da Poor & Dangerous,Big L,Lifestylez Ov Da Poor & Dangerous,0.652,0.0892,85.412,0.316,0.262,2.13e-05,4,0.683,3,201240,-8.765,0.397,5GseQckHgP7uWyaiCd5ZW3,0
My Dick,Mickey Avalon,Mickey Avalon,0.603,0.0945,99.653,0.28,0.348,0,4,0.936,11,180387,-4.677,0.814,2tN2Kvzm2ITh1jnMKjjWBZ,1
I Only Lie When I Love You,Royal Blood,I Only Lie When I Love You,0.886,0.334,124.013,0.0483,0.00111,0.000129,4,0.65,11,169720,-4.821,0.88,4VsR4LXdPB9nrZ3wLbdMLN,1
