Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Living Single,Big Sean,Living Single,0.618,0.108,79.862,0.315,0.214,0,4,0.717,11,276347,-5.419,0.719,36xxq7VDZZsGwARsn6Clo7,1
Happysad Sunday,Kiefer,Kickinit Alone,0.367,0.0976,80.004,0.052,0.85,0.857,4,0.662,7,168000,-7.784,0.302,7H84v8FGNx6Fy5GUiO1wWq,1
"Father, Father",Jay Prince,Smile Good,0.749,0.494,130.016,0.0674,0.0498,0.0104,4,0.629,1,206769,-5.414,0.69,5mSJgLW43dmFEMK50ECr0S,1
4r Da Squaw,Isaiah Rashad,The Sun's Tirade,0.523,0.137,143.934,0.329,0.532,2.12e-05,4,0.667,10,232571,-9.477,0.409,71lyUtIPCMAYjTwwwxy2jW,0
Lo,Devonwho,Lyon - EP,0.367,0.0914,87.049,0.0531,0.334,0.921,4,0.8,6,143453,-7.007,0.388,1RRgJY5JK8WZTQGIe7LDJX,0
Evil Eye,Kiefer,Kickinit Alone,0.398,0.233,72.958,0.189,0.546,0.82,4,0.806,1,141370,-9.332,0.563,1m2f2mMHQ1JhuhNvLTyUUg,1
"Roll One Up, Homie",Rob Araujo,Loading...,0.535,0.858,91.35,0.0746,0.39,0.00709,4,0.665,4,205014,-8.778,0.513,6kMTUktQ2yjTrGPx2GfbJd,0
Ghetto Walkin',Miles Davis,Everything's Beautiful,0.729,0.108,87.925,0.0689,0.457,0.000119,4,0.535,0,222800,-9.513,0.508,1b3DCnwkxeL75NdjEY7shK,1
Far Away,Tomppabeats,Harbor,0.495,0.162,73.117,0.0957,0.444,0.964,4,0.675,10,52603,-11.151,0.718,3pUMsLZIy50bhHOR8K8EKG,0
Nikes,Frank Ocean,Blonde,0.394,0.108,137.811,0.0864,0.695,0.000239,4,0.543,8,314075,-9.637,0.118,19YKaevk2bce4odJkP5L22,1
Free Lunch,Isaiah Rashad,The Sun's Tirade,0.472,0.109,130.011,0.237,0.223,5.39e-05,4,0.865,11,192029,-7.359,0.843,5FX89IUKm9QJT9ymrmyK4k,0
Vibe,Mick Jenkins,The Water[s],0.626,0.106,79.101,0.334,0.311,0,1,0.544,2,274826,-9.544,0.399,4E5iR7RrC5yI6xA7zIEWlY,0
Hereditary,Isaiah Rashad,Cilvia Demo,0.743,0.759,97.544,0.0959,0.871,0.847,4,0.533,1,86587,-6.671,0.743,0SC6bK22QGoX8EdgFM13Gv,0
Yeah Right,Vince Staples,Big Fish Theory,0.481,0.389,118.06,0.0869,0.0182,0,4,0.738,1,188947,-8.812,0.248,35tWhD29yvWwB0IDRr6zsL,1
Forever (feat. Joseph Chilliams & Ravyn Lenae),Noname,Telefone,0.655,0.188,113.74,0.469,0.571,0,5,0.672,6,218627,-9.768,0.906,3cFqaY74NyS6rcitujSx2g,0
Jazz,Mick Jenkins,The Water[s],0.61,0.113,125.227,0.119,0.25,0.000121,3,0.636,8,260160,-9.665,0.296,3eqEq53sUsaukd560hw7Dh,1
Ain't Nothing Changed,Loyle Carner,Yesterday's Gone,0.662,0.116,89.655,0.185,0.546,0.047,4,0.674,5,194427,-8.019,0.127,5dvpipXxOIH96gcGEKR1Iu,0
Runnin' - Instrumental,The Pharcyde,Labcabincalifornia (Deluxe Edition),0.764,0.0488,94.088,0.183,0.16,0.86,4,0.818,6,302307,-7.896,0.832,2HlDkSeQVfB6Q7QTo8TnY5,1
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",0.461,0.0708,117.999,0.0342,0.00952,0.0405,3,0.557,5,379227,-11.796,0.291,4r0GVpjSsKSR1biv4fOoa5,1
Sober,Childish Gambino,Kauai,0.601,0.562,98.04,0.0304,0.0972,1.17e-05,4,0.699,0,252013,-6.48,0.434,6olUplztLFFfU7fMYmFXOP,1
Loveleen,Rejjie Snow,Rejovich,0.43,0.0891,83.024,0.191,0.478,0.0287,4,0.761,5,170661,-7.213,0.728,6OsC1aULdn6pQnXxHSPFXO,0
Where This Flower Blooms,"Tyler, The Creator",Flower Boy,0.429,0.166,130.09,0.15,0.71,3.41e-06,4,0.686,8,194933,-10.402,0.27,6KuXb26rHuRy3ZDse1VRmx,0
haiku,Nohidea,osho,0.44,0.118,87.652,0.206,0.252,0.466,4,0.696,3,108665,-9.777,0.507,2eSuEiuWXqBzoIbQr0c3jc,0
